Nombre,Colectivo,Tipo de Incidencia,Hora/Fecha,Notas
"Gael","Alumno","Salida Anticipada","16/04/2026 21:17","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 21:17","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 21:17","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 21:17","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 21:17","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 21:17","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 21:17","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 21:14","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 21:14","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 21:14","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 21:14","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 21:14","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 21:14","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 21:14","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 21:13","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 21:13","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 21:13","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 21:13","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 21:13","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 21:13","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 21:13","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 20:56","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 20:56","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 20:56","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","16/04/2026 20:56","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 20:56","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 20:56","Registrado por NFC"
"Ines","Profesor","llego al centro","16/04/2026 20:56","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","19/03/2026 09:03","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","19/03/2026 09:03","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","19/03/2026 09:03","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","19/03/2026 09:03","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 09:03","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 09:03","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 09:03","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 09:00","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 09:00","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 09:00","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 08:55","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 08:55","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 08:55","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 08:45","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 08:45","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 08:45","Registrado por NFC"
"Ines","Profesor","no llego al centro","19/03/2026 08:43","Registrado por NFC"
"Ángel Cristo","Alumno","Llegada Tarde","19/03/2026 08:42","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 08:28","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 08:28","Registrado por NFC"
"Ines","Profesor","llego al centro","19/03/2026 08:28","Registrado por NFC"
"Gael","Alumno","Salida Anticipada","19/02/2026 08:45","Registrado por NFC"
"Ines","Profesor","llego al centro","13/02/2026 21:50","Registrado por NFC"
